Baumuster,VehicleName,Status
2476131,GLB 200 d 4MATIC,FAIL
2053841,C 300 4MATIC Coupé,FAIL
2476141,GLB 220 d,FAIL
2053861,Mercedes-AMG C 63 Coupé,FAIL
2476151,GLB 220 d 4MATIC,FAIL
2053871,Mercedes-AMG C 63 S Coupé,FAIL
2476461,GLB 250,FAIL
2054141,C 220 d Cabriolet,FAIL
2476471,GLB 250 4MATIC,FAIL
2054151,C 220 d 4MATIC Cabriolet,FAIL
2476511,Mercedes-AMG GLB 35 4MATIC,FAIL
2054181,C 300 d Cabriolet,FAIL
2476841,GLB 180,FAIL
2476871,GLB 200,FAIL
2054641,Mercedes-AMG C 43 4MATIC Cabriolet,FAIL
2476881,GLB 200 4MATIC,FAIL
2054661,C 400 4MATIC Cabriolet,FAIL
2054761,C 180 Cabriolet,FAIL
2477101,GLA 180 d,FAIL
2054771,C 200 Cabriolet,FAIL
2477121,GLA 200 d,FAIL
2054781,C 200 4MATIC Cabriolet,FAIL
2477131,GLA 200 d 4MATIC,FAIL
2477141,GLA 220 d,FAIL
2054831,C 300 Cabriolet,FAIL
2054841,C 300 4MATIC Cabriolet,FAIL
2477151,GLA 220 d 4MATIC,FAIL
2477461,GLA 250,FAIL
2477471,GLA 250 4MATIC,FAIL
2054871,Mercedes-AMG C 63 S Cabriolet,FAIL
2060031,C 200 d,FAIL
2060041,C 220 d,FAIL
2477531,Mercedes-AMG GLA 45 4MATIC+,FAIL
2060051,C 220 d 4MATIC,FAIL
2477541,Mercedes-AMG GLA 45 S 4MATIC+,FAIL
2060061,C 300 d,FAIL
2060071,C 300 d 4MATIC,FAIL
2060411,C 180,FAIL
2060421,C 200,FAIL
2060431,C 200 4MATIC,FAIL
2477861,GLA 250 e,FAIL
2477871,GLA 200,FAIL
2060461,C 300,FAIL
2477881,GLA 200 4MATIC,FAIL
2060471,C 300 4MATIC,FAIL
2533111,GLC 300 de 4MATIC Coupé,FAIL
2060541,C 300 e,FAIL
2533151,GLC 220 d 4MATIC Coupé,FAIL
2060551,C 400 e 4MATIC,FAIL
2533161,GLC 200 d 4MATIC Coupé,FAIL
